Position,Experience,Company,Location,Date,Details
"Backend developer (Python, PHP)",from 3 to 5 years,Zviger LLC,віддалено,6 вересня,"Привіт, майбутній колего! Ми — американська IT компанія з українським корінням «Zviger LLC», яка надає якісний сервіс підбору авто з США і Канади з 2017 року та займається розробкою IT продукту для цього напрямку бізнесу. Організуємо та візьмемо під контроль весь процес — від покупки автомобіля на аукціоні — до вивантаження в пункті призначення. У зв’язку з розширенням штату шукаємо Backend-developer. Ключові задачі: Розробка та підтримка продуктів компанії; Проведення код — рев’ю; Оцінка трудомісткості завдань; Взаємодія з іншими командами: розробниками back-end; розробниками front-end; тестувальниками; аналітиками. Для нас важливо (наші вимоги): Мінімум 3 роки досвіду розробки програмного забезпечення Досвід об’єктно-орієнтованого програмування Досвід роботи з базами даних (SQL, NoSQL) Впевнене знання та досвід розробки на Python3 Знання та досвід розробки на PHP (Symfony), JavaScript Досвід роботи з чергами повідомлень (RabbitMQ) Досвід роботи з Selenium Досвід роботи з інтеграціями API, вміння бачити приховані можливості в даних Досвід роботи з Docker Базовий досвід адміністрування *nix систем. Самоорганізованість, відповідальність, креативність, виконавчість. Ми пропонуємо (наші умови): Дистанційна форма роботи; Робота у крутій молодій команді; Графік роботи: 5 — денний робочий тиждень; Відпустка: 20 календарних днів; 5 short term sick leave (day off) Персональна відпустка 3 дні по кожному із випадків: одруження, народження дитини, смерть близької людини; Бенефіти на придбання авто з США; Видаємо Eco Flow, щоб була можливість працювати в блекаути; Компенсація зовнішнього навчання та корпоративне навчання; Тімбілдинги; Ми можемо ще багато розповідати, але пропонуємо продовжити вже особисто. Що скажеш?"
Junior Python розробник,below year,Apriorit,"Київ, Дніпро, віддалено",28 серпня,"Apriorit — компанія з розробки програмного забезпечення, заснована у 2002 році, має багатий досвід у системному програмуванні, кібербезпеці, реверсивній інженерії, SaaS/web, рішеннях на основі блокчейну, штучному інтелекті тощо.   Ми шукаємо  Junior   Python  розробника  для роботи над проєктом у сфері  кібербезпеки.    Проєкт   Це рішення, яке керує всією інформацією та процесами на кожному етапі життєвого циклу продукту чи сервісу. Це включає дані про елементи, компоненти, продукти, документи, вимоги, інженерні зміни та процеси управління якістю. Як частина продукту використовується цифровий двійник — програмний аналог фізичного пристрою, який моделює внутрішні процеси, технічні характеристики та поведінку реального об’єкта під впливом перешкод та середовища.  Навички та досвід :  6+ місяців досвіду роботи з Python, Flask Досвід роботи з SQLAlchemy, UnitTesting (pytest), Docker, Git Англійська мова на рівні intermediate та вище  Буде плюсом:    Kubernetes  AWS  Ми пропонуємо:    Участь у міжнародній співпраці з розробки інноваційного продукту в галузі кібербезпеки Робота з найновішими стандартами та підходами у розробці програмного забезпечення Можливість розширити і поглибити свої знання, працюючи в команді професіоналів  Персоналізований підхід до навчання (менторство, внутрішні курси, обмін знаннями);   Можливість розвивати свої компетенції — досвідчений колектив, регулярні 1 на 1 зустрічі з керівником, а також план розвитку, зроблений на ваші потреби;  Кар’єрний розвиток та професійний зріст;  Гнучкий робочий графік, віддалена робота  20 робочих днів оплачуваної щорічної відпустки, лікарняні  Медичне страхування або компенсацію спорту   Безкоштовні корпоративні англійські уроки;  Потужне обладнання надається (ноутбук, монітор та аксесуари)   Підтримка mental здоров’я та інші корпоративні бонуси   

 Якщо вас зацікавила ця посада, будь ласка, надішліть нам ваше детальне резюме."
Python Developer,below year,HOLYWATER,"Київ, за кордоном, віддалено",2 вересня,"ЗУСТРІЧАЙТЕ СВОЮ МАЙБУТНЮ КОМАНДУ! Ви будете працювати в  H OLYWATER  — технологічній медіакомпанії, що створює персоналізовані світи для 20+ мільйонів користувачів, поєднуючи креативність авторів з ефективністю штучного інтелекту. HOLYWATER створює та публікує книги, аудіокниги, інтерактивні історії та відеосеріали для власних застосунків.  Наша місія  — розкривати потенціал людей і давати можливість творцям контенту надихати мільйони людей по всьому світу, зосереджуючись на тому, що вони роблять найкраще. HOLYWATER була заснована в 2020 році в екосистемі Genesis. З того часу команда зросла з 6 до 90 спеціалістів, а наші додатки неодноразово ставали лідерами в своїх нішах у США, Австралії, Канаді та Європі. За допомогою нашої платформи, будь-який талановитий письменник може досягти мільйонної аудиторії та надихати її своїми історіями. Нашими продуктами користуються вже більше 20 мільйонів користувачів по всьому світу. НАШІ ДОСЯГНЕННЯ ЗА 2023:   1. Наш додаток з інтерактивними історіями 3 місяці ставав ТОП-1 за завантаженнями у світі у своїй ніші. 2. Наш додаток з бібліотекою книг, Passion, в грудні став ТОП-1 у своїй ніші в США та Європі. 3. Ми запустили платформу з відеосеріалами на основі наших книг та зробили перший успішний пілотний серіал. 4. Кількість нових завантажень та прибуток зросли майже в 2 рази в порівнянні з 2022. Основна цінність HOLYWATER  — це люди, які працюють з нами. Саме тому ми прикладаємо всі зусилля, щоб створити такі умови, де кожен співробітник зможе реалізувати свій потенціал наповну та досягнути найамбітніших цілей. КУЛЬТУРА КОМПАНІЇ У своїй роботі команда спирається на  шість ключових цінностей : постійне зростання, cамомотивація, наполегливість і гнучкість, cамоусвідомлення, свобода та відповідальність, орієнтація на результат. Ми активно розширюємо команду для масштабування наших існуючих та нових застосунків. І тому шукаємо в команду амбітного Junior Python Developer, який підсилить Data Engineering Team. ВАШІ ОБОВ’ЯЗКИ ВКЛЮЧАТИМУТЬ: Автоматизацію процесів за допомогою Python та GCP (відправка зображень з Tableau API до Slack) Збір інформації з відкритих джерел, парсинг, автоматичне формування звітів. ЩО ПОТРІБНО, АБИ ПРИЄДНАТИСЯ: Знання Python.  Вміння працювати з REST API. Бажання працювати у продуктовому  стартапі . Вміння швидко  адаптуватися та опановувати нові технології. Сприймання  фідбеку  та орієнтація на  результат . Буде плюсом володіння SQL. ЩО МИ ПРОПОНУЄМО: Ви будете частиною згуртованої команди професіоналів, де зможете обмінюватися знаннями та досвідом, а також отримувати підтримку та поради від колег. Гнучкий графік роботи, можливість працювати віддалено з будь-якої безпечної точки світу. Можливість відвідувати офіс на київському Подолі. В офісі можна не турбуватися про рутину: тут на вас чекають сніданки, обіди, безліч снеків, напоїв та фруктів, лаунжзони, масаж та інші бенефіти. 20 робочих днів оплачуваної відпустки на рік, необмежена кількість лікарняних. Послуги корпоративного лікаря, а після випробного терміну — компенсація медичного страхування. Можливість звертатися за консультацією до психолога. Компенсацію членства в спортивних клубах та доступ до спортивних секцій, що дозволяє підтримувати фізичне здоров’я та енергію. Уся необхідна для роботи техніка. Онлайн-бібліотека, регулярні лекції від спікерів топ-рівня, компенсація конференцій, тренінгів та зовнішнього навчання. Професійне внутрішнє ком’юніті для вашого кар’єрного розвитку. Культуру відкритого фідбеку. ЕТАПИ ВІДБОРУ: 1. Первинний скринінг. Рекрутер ставить декілька запитань в месенджері, аби скласти враження про ваш досвід і навички перед тестовим завданням. 2. Тестове завдання. Підтверджує вашу експертизу та показує, які підходи, інструменти й рішення ви застосовуєте в роботі. Ми не обмежуємо вас у часі та ніколи не використовуємо напрацювання кандидатів без відповідних домовленостей. 3. Співбесіда з менеджером. Всеохопна розмова про ваші професійні компетенції та роботу команди, в яку подаєтесь. 4. Бар-рейзинг. На останню співбесіду ми запрошуємо одного з топменеджерів екосистеми Genesis, який не працюватиме напряму з кандидатом. У фокусі бар-рейзера — ваші софт-скіли та цінності, аби зрозуміти, наскільки швидко ви зможете зростати разом з компанією. Хочеш стати частиною сильної команди? Відправляй своє резюме 🖤."
Automation QA Engineer (Python) Freelance,from 3 to 5 years,Lemberg Solutions,"Львів, Луцьк, Рівне, віддалено",6 вересня,"Lemberg Solutions is, above all, a group of passionate professionals led by a core team that have been meticulously selected over the last 15 years. We are based in Lviv, Rivne, and Lutsk, and opened GmbH in Hamburg, Germany. At LS, people come first. We know that our success is based on our people’s achievements. Each and every one of our 200 team members is highly valued for their hard work, and we’re always excited to welcome new specialists ready to embrace challenges with us. Pay attention: only those candidates who meet the listed requirements will receive an answer! Necessary skills and qualifications: 3+ years of experience with Automation, Python, and PyTest  Solid experience in writing and executing test plans, test scenarios, and test cases  Practical knowledge of Selenium WebDriver or Playwright Ability to write testing documentation: Bug Reports, Check Lists, Test Cases, Traceability Matrix; perform informal reviews of these documents Familiarity with popular QA tools for defect and test case management Deep knowledge of HTML/CSS and SQL Understanding of computer networking principles and protocols: HTTP, TCP/IP, Rest API Being motivated by investigating problems and finding their root cause Upper-intermediate level of English Will be a plus: BDD framework Familiarity with Appium  Experience with Docker"
Python Developer у Стартап,below year,ESUPPORT,,19 серпня,"Компанія ESUPPORT спеціалізується на B2B лідогенерації через LinkedIn, надаючи послуги, що дозволяють вашому бізнесу налагодити та зміцнити ділові зв’язки з потенційними клієнтами та партнерами. Наші послуги допоможуть вашому бізнесу встановити та зміцнити ділові зв’язки, використовуючи потужні інструменти комунікації та маркетингу для досягнення ваших стратегічних бізнес-цілей. 🚀 Ми шукаємо Python Developer (Backend, Telegram Bots), який(а) зможе розробляти клієнто-орієнтовані чат-боти Telegram, що допоможуть підвищити продажі! 🚀 Що ми пропонуємо: Контракт  з можливістю участі в розвитку продукту з самого початку. 💡 Можливість створювати інноваційні Telegram боти, що підвищують ефективність продажів. 📈 Після отримання фінансування — можливість викупити часткові виплати, які ми будемо здійснювати на початку. Що ми очікуємо: Досвід роботи з Python та розробкою бекенду. Знання бібліотек та фреймворків для створення чат-ботів (наприклад, aiogram, Telethon). Досвід інтеграції API та роботи з базами даних. Вміння створювати ефективні та надійні рішення для автоматизації комунікацій. Відповідальність, проактивність та бажання розвиватися разом із командою. 💰 На перших етапах ми не можемо виплачувати повноцінну зарплату, проте зможемо здійснювати часткові виплати, які ви зможете викупити після отримання фінансування. Якщо ти готовий(а) приєднатися до нашої команди та працювати над створенням інноваційних рішень, заповнюй анкету за кнопкою нижче! 👇"
Стажер Python Developer для УНКД,below year,"ГО ""УНКД""",віддалено,19 серпня,"УНКД  — це унікальний проект, що живе питанням розвитку високих технологій та захисту цифрових прав. Ми прагнемо розбудовувати високотехнологічні процеси в Україні та зробити нашу державу лідером у сфері цифрових інновацій. 🚀 Ми шукаємо стажера Python Developer, який хоче отримати досвід у створенні Telegram-ботів та роботі з API! 🚀 Що треба буде робити: Розробляти та вдосконалювати Telegram-боти. Працювати з API для інтеграції зовнішніх сервісів. Брати участь у проектуванні та впровадженні нових функцій. Що ми пропонуємо: Дві тижні неоплачуваної стажування з можливістю навчитися новим технологіям та отримати практичний досвід. Після успішного завершення стажування — пропозиція оплачуваної роботи в нашій команді. Робота у творчій команді, що працює над проєктами, які мають реальний вплив на розвиток цифрових прав та високих технологій в Україні. Що ми очікуємо: Базові знання Python та бажання розвиватися у цій сфері. Інтерес до роботи з Telegram-ботами та API. Відповідальність, бажання вчитися та працювати в команді. Це чудова можливість для молодих спеціалістів розпочати свою кар’єру в сфері розробки та стати частиною проектів, що змінюють Україну на краще. Якщо ти готовий(а) прийняти виклик та розвиватися разом з нами, заповнюй анкету за кнопкою нижче! 👇"
Python Web Developer,from 3 to 5 years,Go Wombat,"Дніпро, Івано-Франківськ, Валенсія (Іспанія), віддалено",6 вересня,"У тебе є умови і бажання працювати? Любиш та вмієш писати на Python? Тоді тобі до нас! Go Wombat, як завжди, не припиняє пошуки крутих Python-розробників. 

 З вимогами у нас все просто: — Досвід роботи з web-фреймворками Django або FastAPI (experience from 4 years); — Досвід з IAAS і PAAS; — Досвід роботи з реляційними базами, а з нереляційними — буде круто; — Досвід створення і використання RESTful API’s; — Впевнений досвід роботи з системами контролю версій (Git); — Docker — дуже бажано; — Розуміння принципів об’єктно-орієнтованого програмування; — Базове розуміння принципів створення unit-tests; — UNIX-системи не вводять тебе в ступор; — Хороший рівень розмовної і письмової англійської (B2); — Впевнений користувач ПК :D 
			 
					 Go Wombat — це команда талановитих спеціалістів, здебільшого сфокусованих на розробці стабільних і ефективних веб- та мобільних рішень. Ми любимо нестандартні задачі, що потребують застосування найсучасніших технологій. Нас вже більше 80, і ми шукаємо таких самих проактивних та відповідальних людей, як і ми в Go Wombat! 

 Наші спеціалісти працюють у різних куточках світу, але ми дуже цінуємо живе спілкування. Більшість команди знаходиться в Україні, де розташовані основні офіси компаніі,- у Дніпрі та Івано-Франківську. Наразі майже третина розробників працює з Іспанії, де ми реалізовуємо плани з відкриття повноцінного представництва. 

 Основним напрямком нашого розвитку протягом останніх семи років є зростання без втрати технологічного фокусу, довкола якого і була збудована компанія. Єдиний напрямок діяльності у back-end — це Python та числені фреймворки, з яких в першу чергу ми працюємо з Django та FastAPI. На стороні front-end ми працюємо майже виключно з ReactJS. 

 Наша ієрархія дуже проста та еффективна, у нас немає бюрократії, і ми пишаємося цим! 

 Головним чином, Go Wombat працює з клієнтами із Європи, а саме з Великої Британії, Нідерландів та країн Скандинавії. Але також у нас чимало цікавих проектів з США та Ізраілю!"
"General QA Engineer (Python, Abroad)",from 3 to 5 years,PIN-UP Global,"за кордоном, віддалено",6 вересня,"PIN-UP.TECH  is one of the directions of the international ecosystem PIN-UP Global, which operates in six countries — Ukraine, Poland, Kazakhstan, Cyprus, Peru, and Armenia.  PIN-UP.TECH  is the foundation of today’s international ecosystem of PIN-UP Global, the main products of  PIN-UP.TECH  are platforms for Ukraine and Kazakhstan. PIN-UP Global is an ecosystem of independent companies involved in the life cycle of various entertainment products. Ecosystem companies introduce innovative technologies, non-standard solutions for the development and scaling of products and services. We are looking for a General QA Engineer (Python) to join our team. Requirements: • Extensive experience in Quality Assurance, specializing in testing WEB applications (both automation and manual testing for both FrontEnd and BackEnd); • Proficient in Python and well-versed in Object-Oriented Programming (OOP) principles; • Demonstrated expertise in API testing (REST, gRPC, WS) and proficiency in various testing tools from both manual and automation perspectives; • Proficiency in developing frameworks using PageObject, PageFactory, and PageElement-based approaches; • Hands-on experience with Selenium and Selenium-based tools such as Playwright; • Knowledge and experience with performance testing tools, such as Locust, JMeter, K6 or other; • Thorough understanding of Continuous Integration/Continuous Deployment (CI/CD) pipelines, with practical experience using GitLab CI; • Basic knowledge of *nix systems; • Holds a Bachelor’s degree in Computer Science, Software Engineering, or a related field (or possesses equivalent work experience); • Strong problem-solving skills and effective communication abilities.   Will be plus: • Knowledge of GO, JavaScript/TypeScript, bash; • AWS experience (Lambda, EC2); • Grafana monitoring tool usage; • GraphQL experience. Responsibilities: • Work collaboratively with team members to design and upkeep automated test scripts using Python and OOP principles; • Create and sustain testing frameworks and test infrastructure for your project; • Conduct thorough manual and automated testing of WEB applications (API/UI/Load); • Prioritize a strong commitment to quality assurance, including the identification and resolution of defects; • Provide guidance and support to creators of test cases, packages, and plans to ensure comprehensive test coverage; • Collaborate closely with CI/CD pipelines, particularly in a GitLab CI environment, to automate test execution; • Contribute actively to problem-solving efforts aimed at identifying and resolving testing-related issues."
Senior Python Developer,from 3 to 5 years,Starkflow,віддалено,10 вересня,"On behalf of our client — crypto-assets trading platform, Starkflow is looking for talented Senior Python developer to join the team.    Role Overview:   The Senior Python Developer writes and enhances server-side applications and databases. When integrated with front-end code, this work ensures a functional and seamless experience for the end user. Duties and Responsibilities : ● Write clean, maintainable code using advanced Python features such as decorators and context managers; ● Design, develop, and optimize relational and non-relational databases; ● Integrate user-facing elements into applications; ● Utilize unit testing, test-driven development (TDD), and code review processes; ● Improve existing systems; ● Apply best practices in application security, including authentication (OAuth, JWT), secure coding practices, and encryption; ● Assess and prioritize feature requests; ● Implement caching strategies with Redis or Memcached, utilizing advanced features like pub/sub and sorted sets; ● Design scalable systems using design patterns and microservices architecture; ● Communicate and collaborate effectively in a remote environment using tools like Slack, Zoom, GitHub, Jira, and Confluence. Qualifications and Requirements   ● Expertise in Python frameworks (e.g., Starlette, FastAPI, Flask, Django) and data science libraries (e.g., Pandas, NumPy); ● Proficiency with SQL and ORM tools (e.g., SQLAlchemy, Django ORM); ● Familiarity with AWS, REST API, and FIX Protocol APIs; ● Strong understanding of databases, SQL, and both relational and non-relational databases (e.g., PostgreSQL, MySQL, MongoDB); ● Bachelor’s Degree in Computer Science, Engineering, or a relevant field; ● Minimum of  6 years of back-end development experience , including at least  4 years in Python developmen t with a strong portfolio; ● Deep understanding of Python and asynchronous programming; ● Experience with caching solutions like Redis and software security principles; ● Proven ability to work effectively in a remote setting with strong self-management skills."
Senior / Lead Python Software Engineer,from 3 to 5 years,EPAM,"Київ, Харків, Львів, Дніпро, Одеса, Вінниця, Івано-Франківськ, Хмельницький, Житомир, Ужгород, Черкаси, Чернівці, віддалено",10 вересня,"We are looking for an experienced  Senior / Lead Python Software Engineer  to join our team. The remote option applies only to the Candidates who will be working from any location in Ukraine.   Responsibilities Contribute to the design, development of software solutions using Python.Core Collaborate with cross-functional teams to understand project requirements and deliver high-quality code Integrate REST APIs to enable seamless communication with other systems Monitor and optimize software performance to ensure scalability and efficiency Requirements 4+ years in Python.Core development Strong commercial experience with AWS Leadership experience is a plus Experience with Grafana and Prometheus is a plus Upper-Intermediate or higher English level, both spoken and written We offer Work on a flexible schedule remotely or from any of our comfortable offices or coworking spaces in Ukraine Receive the necessary equipment to perform your work tasks Change projects and technology stacks within EPAM Gain experience in various business domains (Insurance, E-commerce, Healthcare, Finance, Travelling, Media, Artificial Intelligence, and more) Consider relocation options in over 30 countries worldwide Participate in volunteer, charity programs and communities (both technical and interest-based) You can plan your individual career path together with your manager Receive regular feedback from colleagues Improve your English for free with certified teachers (Speaking Clubs, client interview preparation courses, etc.) Get the opportunity to undergo free training and certification in AWS, GCP, or Azure Clouds Use the internal E-learn training program (18,200+ specialized training and mentoring programs) Access corporate accounts on LinkedIn Learning, Get Abstract and other partner resources Study at EPAM Solution Architecture School with the instructors who are practicing architects Develop as a leader, join Delivery Management, Resource Management, Leadership Essentials school and more Participate in internal communities (500+ meetups, technical discussions, brainstorming sessions, online events and conferences annually) Vacation and sick leave (including a sick leave without a medical certificate) A wide range of Voluntary Medical Insurance programs providing both medical treatment and various preventive options (including sports activities) Medical insurance for family members at corporate rates Company support during significant life events (childbirth or adoption, marriage, etc.) Support for psychological comfort: discounts on services from mental health specialists or coaches, thematic training E-kids program — a free programming language training program for EPAMers’ children EPAM strives to provide its global team of over 52,800+ professionals in more than 55 countries with opportunities for professional growth from day one of collaboration. Our colleagues are the source of EPAM’s success, so we value cooperation, strive to always understand our clients’ business and aim for the highest quality standards. No matter where you are, you will join a dedicated, diverse community that will help you realize your potential to the fullest."
